页面	减少量(B)	减少前(B)	减少后(B)	时间	减少前摘要	减少后摘要	减少前版本	减少后版本
除诽谤妖言诏	709	849	140	2026-04-24 01:47:56	claude/sanwen-import: 批量导入散文页面 除诽谤妖言诏	REDIRECT：除诽谤妖言诏→除诽谤妖言之罪	20260423-051034-8cc68e	20260424-014756-47aad9
026_历书	705	4959	4254	2026-04-23 16:54:59	butler/add-chapter-summary: 添加太史公自序综述（29节）	butler/linkify: 事件列表添加wiki链接 (16个)	20260422-213927-8f7f76	20260423-165459-cd661d
100_季布栾布列传	704	3621	2917	2026-04-23 16:55:15	butler/add-chapter-summary: 添加太史公自序综述（10节）	butler/linkify: 事件列表添加wiki链接 (11个)	20260422-213932-4eb582	20260423-165515-c1f9c8
081_廉颇蔺相如列传	700	5781	5081	2026-04-23 16:55:11	butler/add-chapter-summary: 添加太史公自序综述（34节）	butler/linkify: 事件列表添加wiki链接 (28个)	20260422-213931-5e96d4	20260423-165511-c2b3e1
055_留侯世家	696	4752	4056	2026-04-23 16:55:05	butler/add-chapter-summary: 添加太史公自序综述（11节）	butler/linkify: 事件列表添加wiki链接 (24个)	20260422-213929-b20d54	20260423-165505-c7a201
从骠侯国	690	7409	6719	2026-04-23 14:20:12	butler/create-stub: 从骠侯国 汉代侯国条目（批量导入）	butler/create-stub: 从骠侯国 汉代侯国条目	20260423-140105-935a08	20260423-142012-afff12
035_管蔡世家	689	5699	5010	2026-04-23 16:55:01	butler/add-chapter-summary: 添加太史公自序综述（28节）	butler/linkify: 事件列表添加wiki链接 (17个)	20260422-213928-3750e8	20260423-165501-17b1a7
028_封禅书	687	7640	6953	2026-04-23 16:54:59	butler/add-chapter-summary: 添加太史公自序综述（10节）	butler/linkify: 事件列表添加wiki链接 (55个)	20260422-213927-71f925	20260423-165459-373208
酂侯国	684	3174	2490	2026-04-23 14:19:10	butler/create-stub: 酂侯国 汉代侯国条目（批量导入）	butler/create-stub: 酂侯国 汉代侯国条目	20260423-140106-07e079	20260423-141910-83908a
齐魏相王于徐州	678	826	148	2026-04-24 02:09:25	butler/add-pn: 补全PN+元数据 (paragraph_refs, event_type, location)	butler/merge: convert to redirect → 齐魏相王楚伐齐	20260423-161646-c3a9c3	20260424-020925-7351f9
汾阴侯国	675	8518	7843	2026-04-23 14:19:12	butler/create-stub: 汾阴侯国 汉代侯国条目（批量导入）	butler/create-stub: 汾阴侯国 汉代侯国条目	20260423-140112-0599f2	20260423-141912-b9db9f
江都	670	2790	2120	2026-04-24 13:19:26	butler/import-feudal-state: 更新史记引文 江都	butler/restore: 补录revision——还原被误替换的史记引文节	20260424-125719-f74113	20260424-131926-c0cead
郑	668	6647	5979	2026-04-24 13:19:31	butler/import-feudal-state: 更新史记引文 郑	butler/restore: 补录revision——还原被误替换的史记引文节	20260424-125714-250bd0	20260424-131931-dcb582
056_陈丞相世家	660	5022	4362	2026-04-23 16:55:05	butler/add-chapter-summary: 添加太史公自序综述（10节）	butler/linkify: 事件列表添加wiki链接 (27个)	20260422-213929-a6ed83	20260423-165505-97506c
112_平津侯主父列传	660	5890	5230	2026-04-23 16:55:17	butler/add-chapter-summary: 添加太史公自序综述（25节）	butler/linkify: 事件列表添加wiki链接 (22个)	20260422-213933-bc30e8	20260423-165517-7c45f0
092_淮阴侯列传	659	5607	4948	2026-04-23 16:55:13	butler/add-chapter-summary: 添加太史公自序综述（16节）	butler/linkify: 事件列表添加wiki链接 (27个)	20260422-213932-b6bf55	20260423-165513-d89e84
太康失国	658	800	142	2026-04-24 01:54:50	butler/fix-pn: 修正PN格式 + 添加章节关联	butler/merge: convert to redirect → 太康失国与孔甲扰龙	20260423-164701-2b72fc	20260424-015450-8830cf
015_六国年表	657	4816	4159	2026-04-23 16:54:56	butler/add-chapter-summary: 添加太史公自序综述（4节）	butler/linkify: 事件列表添加wiki链接 (32个)	20260422-213927-b702ab	20260423-165456-08285b
淳于意	655	3598	2943	2026-04-24 17:00:34	butler edit	R2018 cite-doc-report: 淳于意 生年+footnote	20260422-185221-bf3946	20260424-170034-055336
秦灭六王并中国	655	785	130	2026-04-24 02:09:25	butler/fix-pn: 修正PN格式 + 添加章节关联	butler/merge: convert to redirect → 秦灭六国	20260423-164901-6329b8	20260424-020925-73db4a
乐平侯国	651	1406	755	2026-04-23 14:20:22	butler/create-stub: 乐平侯国 汉代侯国条目	butler/create-stub: 乐平侯国 汉代侯国条目	20260423-141946-d7b229	20260423-142022-6f87ff
黄	648	1694	1046	2026-04-24 12:57:17	butler/rebuild-place-citations: 重建PN引文节	butler/import-feudal-state: 更新史记引文 黄	20260424-104020-4128cd	20260424-125717-e62219
三晋	646	2193	1547	2026-04-24 13:19:22	butler/import-feudal-state: 更新史记引文 三晋	butler/restore: 补录revision——还原被误替换的史记引文节	20260424-125715-a335c4	20260424-131922-ade75f
许	644	2396	1752	2026-04-24 12:57:17	butler/rebuild-place-citations: 重建PN引文节	butler/import-feudal-state: 更新史记引文 许	20260424-103953-036d63	20260424-125717-61f9a2
宁陵侯国	642	5824	5182	2026-04-23 14:19:36	butler/create-stub: 宁陵侯国 汉代侯国条目（批量导入）	butler/create-stub: 宁陵侯国 汉代侯国条目	20260423-140134-921285	20260423-141936-c3b807
012_孝武本纪	641	11078	10437	2026-04-23 16:54:56	butler/add-chapter-summary: 添加太史公自序综述（61节）	butler/linkify: 事件列表添加wiki链接 (70个)	20260422-213926-b5dcce	20260423-165456-cb77d9
宣王即位共和罢	641	781	140	2026-04-24 01:47:56	butler/fix-pn: 修正PN格式 + 添加章节关联	REDIRECT：宣王即位共和罢→宣王即位中兴	20260423-164714-df0aa6	20260424-014756-134d46
邓	641	2208	1567	2026-04-24 12:57:17	butler/rebuild-place-citations: 重建PN引文节	butler/import-feudal-state: 更新史记引文 邓	20260424-103957-4b229c	20260424-125717-793f40
040_楚世家	638	13249	12611	2026-04-23 16:55:02	butler/add-chapter-summary: 添加太史公自序综述（88节）	butler/linkify: 事件列表添加wiki链接 (40个)	20260422-213928-bac947	20260423-165502-bece37
蜀	635	3894	3259	2026-04-24 13:19:30	butler/import-feudal-state: 更新史记引文 蜀	butler/restore: 补录revision——还原被误替换的史记引文节	20260424-125714-4e5cc6	20260424-131930-cca54d
061_伯夷列传	631	2611	1980	2026-04-23 16:55:06	butler/add-chapter-summary: 添加太史公自序综述（6节）	butler/linkify: 事件列表添加wiki链接 (7个)	20260422-213930-fa4d9c	20260423-165506-65ab8f
昌武侯国	628	4495	3867	2026-04-23 14:19:19	butler/create-stub: 昌武侯国 汉代侯国条目（批量导入）	butler/create-stub: 昌武侯国 汉代侯国条目	20260423-140101-af0ac3	20260423-141919-3ee06b
011_孝景本纪	627	8063	7436	2026-04-23 16:54:55	butler/add-chapter-summary: 添加太史公自序综述（34节）	butler/linkify: 事件列表添加wiki链接 (52个)	20260422-213926-dbd461	20260423-165455-0fbf97
蒲侯国	627	7001	6374	2026-04-23 14:20:18	butler/create-stub: 蒲侯国 汉代侯国条目（批量导入）	butler/create-stub: 蒲侯国 汉代侯国条目	20260423-140140-92df8a	20260423-142018-6865e3
063_老子韩非列传	626	3401	2775	2026-04-23 16:55:07	butler/add-chapter-summary: 添加太史公自序综述（12节）	butler/linkify: 事件列表添加wiki链接 (9个)	20260422-213930-79aa90	20260423-165507-e958be
代王立为天子	624	766	142	2026-04-24 02:09:26	butler/fix-pn: 修正PN格式 + 添加章节关联	butler/merge: convert to redirect → 代王立为孝文帝	20260423-164432-1fa39e	20260424-020926-0e509c
053_萧相国世家	619	3813	3194	2026-04-23 16:55:05	butler/add-chapter-summary: 添加太史公自序综述（6节）	butler/linkify: 事件列表添加wiki链接 (17个)	20260422-213929-480043	20260423-165505-cb2113
启伐有扈氏	619	767	148	2026-04-24 02:05:45	butler/fix-pn: 修正PN格式 + 添加章节关联	butler/merge: convert to redirect → 启伐有扈：甘誓之战	20260423-164644-6c4525	20260424-020545-3e252f
纪侯国	609	3360	2751	2026-04-23 14:19:40	butler/create-stub: 纪侯国 汉代侯国条目（批量导入）	butler/create-stub: 纪侯国 汉代侯国条目	20260423-140124-1eca2f	20260423-141940-4d97cc
010_孝文本纪	607	8643	8036	2026-04-23 16:54:55	butler/add-chapter-summary: 添加太史公自序综述（58节）	butler/linkify: 事件列表添加wiki链接 (46个)	20260422-213926-370b08	20260423-165455-b36c60
桃侯国	603	5103	4500	2026-04-23 14:19:40	butler/create-stub: 桃侯国 汉代侯国条目（批量导入）	butler/create-stub: 桃侯国 汉代侯国条目	20260423-140154-3c1e68	20260423-141940-b7dd49
申屠嘉	603	1483	880	2026-04-23 07:09:39	butler/ontology-import: 申屠嘉	新建stub：文景时代丞相，廉直，欲诛晁错未果，病死	20260423-100000-55e95e	20260423-070939-a47a9e
三晋灭智伯	600	724	124	2026-04-24 02:05:24	butler/fix-pn: 修正PN格式 + 添加章节关联	butler/merge: convert to redirect → 三晋灭知伯	20260423-164337-7b9768	20260424-020524-fef580
东牟侯国	594	4499	3905	2026-04-23 14:19:48	butler/create-stub: 东牟侯国 汉代侯国条目（批量导入）	butler/create-stub: 东牟侯国 汉代侯国条目	20260423-140108-e583a4	20260423-141948-0af386
东越	591	2796	2205	2026-04-24 13:19:23	butler/import-feudal-state: 更新史记引文 东越	butler/restore: 补录revision——还原被误替换的史记引文节	20260424-125749-c1289a	20260424-131923-f327a4
章武侯国	585	8052	7467	2026-04-23 14:19:56	butler/create-stub: 章武侯国 汉代侯国条目（批量导入）	butler/create-stub: 章武侯国 汉代侯国条目	20260423-140212-11193f	20260423-141956-50700a
021_建元已来王子侯者年表	577	3168	2591	2026-04-23 16:54:58	butler/add-chapter-summary: 添加太史公自序综述（4节）	butler/linkify: 事件列表添加wiki链接 (15个)	20260422-213927-44343d	20260423-165458-94e0db
062_管晏列传	563	3325	2762	2026-04-23 16:55:06	butler/add-chapter-summary: 添加太史公自序综述（7节）	butler/linkify: 事件列表添加wiki链接 (13个)	20260422-213930-7c17ca	20260423-165506-f029fe
戴侯国	558	6819	6261	2026-04-23 14:19:36	butler/create-stub: 戴侯国 汉代侯国条目（批量导入）	butler/create-stub: 戴侯国 汉代侯国条目	20260423-140106-d54b18	20260423-141936-b09adc
127_日者列传	553	2706	2153	2026-04-23 16:55:21	butler/add-chapter-summary: 添加太史公自序综述（8节）	butler/linkify: 事件列表添加wiki链接 (6个)	20260422-213934-b6b600	20260423-165521-e240f3
东国	553	2051	1498	2026-04-24 12:57:48	butler/rebuild-place-citations: 重建PN引文节	butler/import-feudal-state: 更新史记引文 东国	20260424-103828-1a2f3f	20260424-125748-b3603d
004_周本纪	551	11687	11136	2026-04-23 16:54:54	butler/add-chapter-summary: 添加太史公自序综述（33节）	butler/linkify: 事件列表添加wiki链接 (76个)	20260422-213926-48ecc1	20260423-165454-dfe603
111_卫将军骠骑列传	551	7759	7208	2026-04-23 16:55:17	butler/add-chapter-summary: 添加太史公自序综述（37节）	butler/linkify: 事件列表添加wiki链接 (33个)	20260422-213933-d8707f	20260423-165517-a8cf24
共侯国	549	3304	2755	2026-04-23 14:19:29	butler/create-stub: 共侯国 汉代侯国条目（批量导入）	butler/create-stub: 共侯国 汉代侯国条目	20260423-140118-6bd379	20260423-141929-58bc0b
霍	549	1540	991	2026-04-24 13:19:31	butler/import-feudal-state: 更新史记引文 霍	butler/restore: 补录revision——还原被误替换的史记引文节	20260424-125715-c07c3d	20260424-131931-18373a
东阳侯国	537	5401	4864	2026-04-23 14:19:32	butler/create-stub: 东阳侯国 汉代侯国条目（批量导入）	butler/create-stub: 东阳侯国 汉代侯国条目	20260423-140109-ed5958	20260423-141932-1c8c0c
长沙	534	3805	3271	2026-04-24 12:57:19	butler/rebuild-place-citations: 重建PN引文节	butler/import-feudal-state: 更新史记引文 长沙	20260424-104009-720cc2	20260424-125719-0f148b
新市侯国	531	3284	2753	2026-04-23 14:20:01	butler/create-stub: 新市侯国 汉代侯国条目（批量导入）	butler/create-stub: 新市侯国 汉代侯国条目	20260423-140200-7e1e47	20260423-142001-71f170
昌侯国	531	4322	3791	2026-04-23 14:19:29	butler/create-stub: 昌侯国 汉代侯国条目（批量导入）	butler/create-stub: 昌侯国 汉代侯国条目	20260423-140100-5d3b7f	20260423-141929-539746
荆	527	2119	1592	2026-04-24 12:57:15	butler/rebuild-place-citations: 重建PN引文节	butler/import-feudal-state: 更新史记引文 荆	20260424-103945-1c4d9e	20260424-125715-0f52d2
大宛	522	1182	660	2026-04-24 13:19:24	butler/import-feudal-state: 更新史记引文 大宛	butler/restore: 补录revision——还原被误替换的史记引文节	20260424-125748-c120a1	20260424-131924-e296c2
082_田单列传	521	3070	2549	2026-04-23 16:55:11	butler/add-chapter-summary: 添加太史公自序综述（16节）	butler/linkify: 事件列表添加wiki链接 (9个)	20260422-213931-89317e	20260423-165511-443e1e
离侯国	510	5007	4497	2026-04-23 14:19:32	butler/create-stub: 离侯国 汉代侯国条目（批量导入）	butler/create-stub: 离侯国 汉代侯国条目	20260423-140128-8e70ea	20260423-141932-c2f4bc
009_吕太后本纪	509	10777	10268	2026-04-23 16:54:55	butler/add-chapter-summary: 添加太史公自序综述（45节）	butler/linkify: 事件列表添加wiki链接 (72个)	20260422-213926-e8ddef	20260423-165455-5dc2be
塞侯国	507	4189	3682	2026-04-23 14:20:04	butler/create-stub: 塞侯国 汉代侯国条目（批量导入）	butler/create-stub: 塞侯国 汉代侯国条目	20260423-140147-9dd80c	20260423-142004-2be460
建平侯国	504	2272	1768	2026-04-23 14:20:19	butler/create-stub: 建平侯国 汉代侯国条目	butler/create-stub: 建平侯国 汉代侯国条目	20260423-142000-41b520	20260423-142019-666873
田常弑齐简公	504	634	130	2026-04-24 02:00:38	butler/fix-pn: 修正PN格式 + 添加章节关联	butler/merge: convert to redirect → 田常弑简公	20260423-164847-b0ed6e	20260424-020038-877a2d
汾阴获宝鼎	503	3702	3199	2026-04-23 15:02:37	butler/import-story: 汾阴获宝鼎	butler/import-story: 汾阴获宝鼎	20260423-230237-afa923	20260423-230237-5611c1
